ratio time error
0.0 77.221 0.7567540331353781
0.05 76.78300000000002 1.0386321132463947
0.1 77.675 0.9180807275083296
0.15 77.161 1.0166989065926388
0.2 77.175 0.741129018607572
0.25 77.04100000000001 0.7532809716315841
0.3 77.78999999999999 1.234683945163476
0.35 78.005 1.101506544087079
0.4 77.551 1.2053625549555218
0.45 77.013 0.8970079895593661
0.5 77.624 1.428831690578004
0.55 77.41799999999999 1.2822445597900207
0.6 77.30499999999999 0.9350965487881717
0.65 77.56000000000002 1.2521448265542832
0.7 77.321 0.8052942871329061
0.75 77.488 1.009166873107604
0.8 77.09 1.293737050391445
0.85 77.02399999999999 1.1930930856857378
0.9 77.26199999999999 1.071559611034311
0.95 77.239 0.9386450044848934
1.0 77.165 0.5486802347451577
