clauses,total,well,trial,typed,time
3,20,19,9,1,72.84
3,20,19,10,1,73.80
3,20,20,1,1,83.00
3,20,20,2,1,83.12
3,20,20,3,1,82.21
3,20,20,4,1,81.84
3,20,20,5,1,84.05
3,20,20,6,1,81.21
3,20,20,7,1,81.16
3,20,20,8,1,82.18
3,20,20,9,1,82.62
3,20,20,10,1,82.12
