ratio time error
0.0 0.20800000000000002 0.04962078417580905
0.05 3.1069999999999998 0.059264004439644746
0.1 4.4159999999999995 0.041686661868969355
0.15 5.983 0.04785394445602175
0.2 7.808999999999999 0.10514011814927945
0.25 10.175 0.11645218379708995
0.3 12.741 0.1812579500172183
0.35 15.565999999999999 0.17771387740472705
0.4 18.886000000000003 0.23996296010472615
0.45 22.411 0.13403565031571127
0.5 25.866999999999997 0.35761711368445454
0.55 30.276 0.2737476534653362
0.6 35.041999999999994 0.4153659698252721
0.65 39.221999999999994 0.44206083040434246
0.7 44.711 0.666774158000875
0.75 49.168 0.5116596090718468
0.8 55.784000000000006 0.7110430522986785
0.85 61.374 0.8304376356275465
0.9 68.381 0.8015602840017036
0.95 74.80699999999999 1.316890698240031
1.0 82.351 0.885405745030683
