preds time error
0 0.007921599999999997 0.00013002410033015669
1 0.0082631 0.0003806416950361583
2 0.008684599999999999 0.0003843514595320855
3 0.009140200000000001 0.0012033297137526357
4 0.009032100000000001 0.000801794854616123
5 0.0098368 0.0010729144938489326
6 0.011885199999999999 0.0016796904344418809
7 0.010911300000000002 0.001316425636166189
8 0.011472600000000001 0.0022766737042350963
9 0.0120669 0.0027999250962203338
10 0.013889600000000002 0.0018838595253126262
11 0.013528300000000002 0.0031407296056100652
12 0.014923999999999998 0.0024114244752842674
13 0.014372699999999999 0.003622477729400142
14 0.0171654 0.002759441416905482
15 0.0173448 0.004698963356126774
16 0.018579000000000002 0.0028680249107859734
17 0.0196251 0.002609097010674596
18 0.021626199999999998 0.003978001251326545
19 0.0206482 0.0031875469425737264
20 0.022980100000000003 0.0034286668756886318
21 0.023201 0.003103970575461909
22 0.022729100000000006 0.0030505938383643713
23 0.028079 0.004419571447298682
24 0.0246829 0.0044568335408797935
25 0.0275134 0.005106817103963419
26 0.03156949999999999 0.0064632988352182315
27 0.031118399999999997 0.003356832905516086
28 0.03131489999999999 0.0038939154088283834
29 0.0321539 0.003922958816732313
30 0.034873699999999994 0.006075014879725718
