ratio time error
0.0 0.5406225 0.0025640276151225596
0.05 0.5406143999999999 0.002884602348870849
0.1 0.5411698999999999 0.003041081329980455
0.15 0.5443788 0.019459346322240348
0.2 0.5396116 0.0028720582708418596
0.25 0.5403572999999999 0.0026569052611387224
0.3 0.5403898999999999 0.0023047699065681664
0.35 0.5408229 0.006007152559888752
0.4 0.542553 0.009824612845072106
0.45 0.5394338000000001 0.001922236359614043
0.5 0.5408135 0.006884053654804115
0.55 0.5408797 0.00379623088075527
0.6 0.5394048 0.00291458000786088
0.65 0.5416428 0.0031970210370141686
0.7 0.5387409999999999 0.0021933743157265366
0.75 0.5395542 0.0014172273243516454
0.8 0.5399241 0.0017287780173675222
0.85 0.5400183000000001 0.003491674575965568
0.9 0.5409828 0.002366767828823851
0.95 0.5457464 0.01997927416210222
1.0 0.5396219 0.0027271808582001004
