clauses,total,well,trial,typed,time
3,20,18,6,1,0.442030
3,20,18,7,1,0.448087
3,20,18,8,1,0.446680
3,20,18,9,1,0.442833
3,20,18,10,1,0.506988
3,20,19,1,1,0.532670
3,20,19,2,1,0.536890
3,20,19,3,1,0.535445
3,20,19,4,1,0.534050
3,20,19,5,1,0.538401
3,20,19,6,1,0.533424
3,20,19,7,1,0.535497
3,20,19,8,1,0.535211
3,20,19,9,1,0.542975
3,20,19,10,1,0.537810
3,20,20,1,1,0.642774
3,20,20,2,1,0.641033
3,20,20,3,1,0.640354
3,20,20,4,1,0.648377
3,20,20,5,1,0.647451
3,20,20,6,1,0.641679
3,20,20,7,1,0.638147
3,20,20,8,1,0.673539
3,20,20,9,1,0.653039
3,20,20,10,1,0.643301
