clauses,preds,trial,typed,time
3,0,1,1,9.69
3,0,2,1,2.37
3,0,3,1,9.55
3,0,4,1,0.69
3,0,5,1,0.18
3,0,6,1,0.14
3,0,7,1,9.64
3,0,8,1,0.13
3,0,9,1,0.77
3,0,10,1,0.17
3,1,1,1,1.00
3,1,2,1,4.10
3,1,3,1,0.74
3,1,4,1,0.24
3,1,5,1,10.46
3,1,6,1,0.24
3,1,7,1,2.29
3,1,8,1,0.24
3,1,9,1,0.13
3,1,10,1,2.32
3,2,1,1,0.64
3,2,2,1,0.19
3,2,3,1,0.91
3,2,4,1,2.43
3,2,5,1,2.37
3,2,6,1,0.29
3,2,7,1,2.34
3,2,8,1,10.30
3,2,9,1,0.25
3,2,10,1,0.58
3,3,1,1,3.99
3,3,2,1,0.29
3,3,3,1,1.05
3,3,4,1,0.26
3,3,5,1,0.14
3,3,6,1,0.12
3,3,7,1,0.15
3,3,8,1,4.04
3,3,9,1,0.84
3,3,10,1,3.95
3,4,1,1,0.78
3,4,2,1,0.20
3,4,3,1,15.50
3,4,4,1,3.00
3,4,5,1,0.67
3,4,6,1,0.30
3,4,7,1,11.70
3,4,8,1,5.01
3,4,9,1,0.18
3,4,10,1,0.70
3,5,1,1,0.20
3,5,2,1,0.22
3,5,3,1,2.50
3,5,4,1,6.51
3,5,5,1,2.59
3,5,6,1,1.44
3,5,7,1,10.77
3,5,8,1,0.15
3,5,9,1,0.16
3,5,10,1,1.01
3,6,1,1,20.25
3,6,2,1,0.38
3,6,3,1,4.67
3,6,4,1,0.21
3,6,5,1,0.71
3,6,6,1,4.77
3,6,7,1,0.28
3,6,8,1,0.31
3,6,9,1,0.18
3,6,10,1,0.23
3,7,1,1,4.01
3,7,2,1,0.36
3,7,3,1,0.27
3,7,4,1,0.17
3,7,5,1,13.76
3,7,6,1,4.48
3,7,7,1,4.82
3,7,8,1,4.11
3,7,9,1,2.17
3,7,10,1,4.12
3,8,1,1,7.69
3,8,2,1,17.15
3,8,3,1,0.32
3,8,4,1,0.17
3,8,5,1,9.60
3,8,6,1,1.25
3,8,7,1,0.20
3,8,8,1,1.13
3,8,9,1,0.32
3,8,10,1,0.31
3,9,1,1,0.33
3,9,2,1,0.29
3,9,3,1,0.22
3,9,4,1,2.71
3,9,5,1,20.32
3,9,6,1,5.27
3,9,7,1,24.68
3,9,8,1,0.18
3,9,9,1,0.24
3,9,10,1,10.82
3,10,1,1,5.18
3,10,2,1,0.42
3,10,3,1,29.07
3,10,4,1,0.29
3,10,5,1,5.56
3,10,6,1,0.78
3,10,7,1,0.46
3,10,8,1,0.26
3,10,9,1,23.72
3,10,10,1,2.31
