clauses,preds,trial,typed,time
3,0,1,1,9.71
3,0,2,1,9.48
3,0,3,1,9.57
3,0,4,1,9.74
3,0,5,1,9.70
3,0,6,1,9.66
3,0,7,1,9.57
3,0,8,1,9.55
3,0,9,1,9.68
3,0,10,1,9.49
3,1,1,1,15.11
3,1,2,1,9.60
3,1,3,1,14.90
3,1,4,1,9.71
3,1,5,1,9.68
3,1,6,1,9.51
3,1,7,1,9.56
3,1,8,1,9.52
3,1,9,1,9.53
3,1,10,1,14.91
3,2,1,1,14.94
3,2,2,1,21.29
3,2,3,1,15.90
3,2,4,1,14.88
3,2,5,1,9.63
3,2,6,1,11.13
3,2,7,1,9.61
3,2,8,1,10.35
3,2,9,1,15.93
3,2,10,1,9.54
3,3,1,1,9.57
3,3,2,1,10.29
3,3,3,1,14.89
3,3,4,1,14.90
3,3,5,1,16.56
3,3,6,1,9.56
3,3,7,1,16.25
3,3,8,1,10.33
3,3,9,1,11.32
3,3,10,1,17.01
3,4,1,1,34.78
3,4,2,1,11.46
3,4,3,1,9.49
3,4,4,1,11.78
3,4,5,1,11.30
3,4,6,1,11.23
3,4,7,1,17.16
3,4,8,1,9.61
3,4,9,1,15.57
3,4,10,1,11.24
3,5,1,1,16.59
3,5,2,1,14.93
3,5,3,1,41.05
3,5,4,1,24.20
3,5,5,1,52.44
3,5,6,1,11.39
3,5,7,1,17.37
3,5,8,1,23.72
3,5,9,1,15.35
3,5,10,1,11.23
3,6,1,1,16.44
3,6,2,1,11.88
3,6,3,1,48.66
3,6,4,1,10.32
3,6,5,1,16.98
3,6,6,1,16.86
3,6,7,1,48.97
3,6,8,1,37.34
3,6,9,1,16.47
3,6,10,1,16.80
3,7,1,1,9.62
3,7,2,1,23.47
3,7,3,1,53.78
3,7,4,1,17.19
3,7,5,1,16.75
3,7,6,1,51.68
3,7,7,1,16.59
3,7,8,1,16.99
3,7,9,1,52.31
3,7,10,1,35.24
3,8,1,1,16.90
3,8,2,1,23.69
3,8,3,1,17.35
3,8,4,1,45.56
3,8,5,1,53.04
3,8,6,1,24.47
3,8,7,1,17.63
3,8,8,1,41.37
3,8,9,1,17.52
3,8,10,1,36.18
3,9,1,1,17.64
3,9,2,1,17.72
3,9,3,1,24.62
3,9,4,1,17.22
3,9,5,1,44.15
3,9,6,1,22.93
3,9,7,1,61.89
3,9,8,1,15.75
3,9,9,1,50.35
3,9,10,1,51.52
3,10,1,1,51.00
3,10,2,1,17.39
3,10,3,1,24.11
3,10,4,1,17.55
3,10,5,1,23.31
3,10,6,1,10.41
3,10,7,1,43.83
3,10,8,1,26.99
3,10,9,1,44.97
3,10,10,1,18.59
