preds time error
0 0.0259766 0.029993442898962656
1 0.0231409 0.0251436745102576
2 0.028721399999999998 0.03357155297503461
3 0.0199406 0.006624365331444549
4 0.025553199999999998 0.013125770790488628
5 0.0409992 0.03827779200586738
6 0.0606075 0.03752067720678234
7 0.0267538 0.00622387153180755
8 0.0552024 0.0377532424102737
9 0.0602376 0.050138690817903626
10 0.05604289999999999 0.02359275612202469
11 0.0851199 0.0460558696185646
12 0.0924382 0.055996530050828455
13 0.1272673 0.11539914142666363
14 1.0220225 2.744014092976575
15 0.12380349999999998 0.032518806282758224
16 0.20403030000000003 0.07114322144027498
17 0.2668671 0.1315853608823734
18 0.3232771 0.21948107817478632
19 0.2462433 0.109947949082029
20 0.5585870999999999 0.6317696039305344
