preds time error
0 0.0788921 0.04907614721464322
1 0.096248 0.04976437462236971
2 0.8758880000000001 1.0465594958812
3 0.18470820000000002 0.12931000983149843
4 0.4000508 0.5321174638172372
5 0.223332 0.1482888412127569
6 0.4281330999999999 0.71371444380998
7 0.44915340000000004 0.9914283939712887
8 1.2627017 2.418985276537115
9 0.7742464000000001 0.9549555475047227
10 0.3674143 0.6465583153902156
11 0.3654279000000001 0.29830267084789713
12 17.588101599999998 45.019993098441454
13 2.2168146 3.8514327740182956
14 2.138673 3.3683107146251285
15 0.7005541 0.9124552009184952
16 3.3055272 2.725202394226438
17 6.0253565 11.40080824894252
18 2.4893095 2.3464069379566164
19 2.0934446000000007 3.1302035812603197
