preds time error
0 0.0864132 0.05780881895966316
1 0.1043482 0.054967360154913755
2 0.8216049 0.793309886779638
3 0.24491180000000004 0.1458580277269647
4 0.6113699 0.7217660719713755
5 0.36047110000000004 0.1712724435819856
6 0.5529805 0.7707716156345105
7 0.5661233999999998 0.725689242737811
8 1.6486653999999994 2.62447339335478
9 1.0981513 0.9661879302597226
10 1.1620706000000003 2.0996446555456423
11 0.8630472999999999 0.7487325418768337
12 2.7916487 4.502126978783696
13 2.1047354 3.0330145267590427
14 3.0075173 2.5236500837365203
15 1.5313769 2.454488374889808
16 4.177236199999999 4.2039683395808245
17 7.6460387 11.182504414455655
18 4.4039222 3.6762255687188126
19 4.503375 5.924524414621424
